City,Ethnicity/Race,Religion,Sexual Orientation
Thornton2,3,1,2
Timnath,1,0,0
Westminster,3,0,1
Universities and Colleges,10,1,1
"Colorado State University, Fort Collins",2,1,0
Fort Lewis College,1,0,0
"University of Colorado, Boulder",7,0,0
University of Northern Colorado,0,0,1
Metropolitan Counties,4,4,3
Adams,1,0,0
Douglas,2,2,0
Jefferson,1,0,0
Larimer,0,1,0
Mesa,0,0,2
Park,0,1,1
Nonmetropolitan Counties,7,1,3
Bent,0,1,0
Custer,1,0,0
Fremont,1,0,1
Garfield,1,0,0
Huerfano,2,0,1
San Miguel,1,0,0
Summit,1,0,1
Total,,48,16
Cities,45,12,11
Bloomfield,0,1,0
Bridgeport,1,1,1
Bristol,1,0,0
Cheshire,0,1,0
Danbury,3,0,0
Derby,1,0,0
East Hartford,1,1,1
East Lyme,1,0,0
Enfield,2,0,0
Farmington,1,0,0
Glastonbury,2,0,1
Madison,1,0,0
Manchester,4,0,1
Middletown,1,0,0
Milford,1,0,1
New Britain,2,1,0
New Haven,5,2,2
New London,1,0,0
New Milford,1,0,0
Norwalk,1,0,0
Norwich,0,0,1
Old Saybrook,2,0,0
Orange,1,0,0
Plainville,1,0,0
Plymouth,1,0,0
Ridgefield,1,0,0
Seymour,0,1,0
Stamford,3,3,2
Torrington,1,0,0
Wallingford,1,0,0
West Hartford,1,0,0
West Haven,1,0,0
Westport,0,1,0
Wethersfield,1,0,0
Willimantic,0,0,1
Wilton,1,0,0
Universities and Colleges,2,1,0
Southern Connecticut State University,1,0,0
"University of Connecticut, Storrs, Avery Point, and Hartford2",1,0,0
Yale University,0,1,0
State Police Agencies,1,3,0
Connecticut State Police,1,3,0
Total,,119,8
Cities,107,5,60
Washington,107,5,60
Other Agencies,12,3,5
Metro Transit Police,12,3,5
Total,,10,4
Cities,4,2,3
Bethany Beach,1,0,0
Dover,0,1,2
Milford,2,0,0
Seaford,1,1,0
Wilmington,0,0,1
Universities and Colleges,3,0,2
Delaware State University,0,0,1
University of Delaware,3,0,1
Metropolitan Counties,1,1,1
New Castle County Police Department,1,1,1
State Police Agencies,2,1,1
State Police:,,,
New Castle County,2,1,0
Sussex County,0,0,1
Total,,48,36
Cities,32,32,19
Bal Harbour Village,0,1,0
Boca Raton,1,1,0
Cape Coral,1,0,1
Davie,3,0,0
DeLand,1,0,0
Deerfield Beach,0,0,1
Fort Lauderdale,2,0,1
Fort Myers,1,0,0
Gainesville,2,1,1
Jacksonville,4,0,0
Largo,2,0,0
Miami,0,2,0
Miami Beach,0,16,4
Miami Gardens,0,1,0
Miami Shores,0,0,1
Miramar,0,0,2
New Port Richey,1,0,0
North Miami,1,0,0
North Miami Beach,2,1,0
North Port,1,0,0
Oakland Park,0,0,1
Ocala,1,0,1
Orlando,1,1,2
Palm Bay,0,0,1
Palm Beach Gardens,1,1,0
Pompano Beach,1,0,1
Port St. Lucie,1,1,1
Royal Palm Beach,1,0,0
Sarasota,1,0,0
St. Augustine,0,1,0
Sunny Isles Beach,0,0,1
Sunrise,0,1,0
Tampa,0,2,0
Temple Terrace,1,0,0
Titusville,0,1,0
Weston,0,1,0
Winter Garden,2,0,0
Metropolitan Counties,15,4,8
Alachua,0,0,1
Bay,1,0,0
Lake,2,0,0
Lee,5,0,0
Miami-Dade,0,3,2
Orange,1,1,1
Osceola,1,0,1
Pasco,1,0,1
Santa Rosa,0,0,1
Sarasota,1,0,0
St. Johns,1,0,0
Sumter,1,0,1
Volusia,1,0,0
Other Agencies,1,0,0
Fort Lauderdale Airport,1,0,0
Total,,77,9
Cities,48,5,3
Albany,1,0,0
Atlanta,0,1,0
Brookhaven,1,0,1
Cartersville,1,0,0
College Park,1,0,0
Columbus,1,1,0
Douglasville,2,0,0
Dunwoody,3,0,1
Emerson,0,1,0
Fayetteville,0,0,0
Garden City,1,0,0
Glennville,0,0,1
Griffin,3,0,0
Johns Creek,2,0,0
Kennesaw,3,1,0
Lilburn,1,0,0
Manchester,2,0,0
Marietta,1,0,0
Milledgeville,4,0,0
Monroe,1,0,0
Newnan,1,0,0
Omega,0,0,0
Sandy Springs,4,1,0
Smyrna,2,0,0
Snellville,1,0,0
Sparta,4,0,0
Suwanee,1,0,0
Warner Robins,7,0,0
Universities and Colleges,4,0,0
Fort Valley State University,4,0,0
Metropolitan Counties,19,3,3
Cherokee,0,1,0
Cobb County Police Department,11,1,2
Coweta,0,0,1
Douglas,1,0,0
Fayette,1,0,0
Forsyth,2,0,0
Hall,1,0,0
Haralson,1,0,0
Lee,0,0,0
Murray,0,1,0
Newton,0,0,0
Paulding,1,0,0
Whitfield,1,0,0
Nonmetropolitan Counties,4,0,0
Banks,0,0,0
Decatur,1,0,0
Fannin,1,0,0
Montgomery,1,0,0
Pierce,1,0,0
Other Agencies,2,1,0
Atlanta Public Schools,1,0,0
Fulton County School System,0,1,0
Gwinnett County Public Schools,1,0,0
Total,,6,0
Cities,5,0,4
Ames,0,0,2
Clive,0,0,1
Davenport,1,0,0
Dubuque,1,0,0
Iowa City,2,0,0
Sioux City,0,0,1
Waterloo,1,0,0
Universities and Colleges,1,0,0
Iowa State University,1,0,0
Total,,18,1
Cities,12,0,4
Boise,6,0,2
Chubbuck,1,0,0
Coeur d'Alene,3,0,0
Jerome,1,0,0
Pocatello,0,0,1
Post Falls,1,0,1
Metropolitan Counties,3,0,0
Bonneville,3,0,0
Nonmetropolitan Counties,3,1,0
Cassia,3,0,0
Idaho,0,1,0
Total,,34,9
Cities,30,9,17
Aurora,0,1,0
Bartonville,0,0,1
Bloomingdale,0,1,0
Bolingbrook,0,0,2
Chicago2,18,5,11
DeKalb,1,0,0
Elk Grove Village,1,0,0
Fairview Heights,1,0,0
Farmington,1,0,0
Galesburg,0,1,0
Genoa,0,1,0
Hoopeston,1,0,0
Joliet,0,0,1
Montgomery,1,0,0
Pingree Grove,1,0,0
Pontiac,1,0,0
Rockford,1,0,2
Springfield,1,0,0
Steger,1,0,0
Streamwood,1,0,0
Metropolitan Counties,4,0,0
Lake,1,0,0
Peoria,2,0,0
Sangamon,1,0,0
Total,,47,13
Cities,43,11,10
Bloomington,1,0,0
Columbus,2,0,1
Evansville,1,0,0
Fort Wayne,1,1,1
Frankfort,1,0,0
Hammond,5,0,1
Hobart,2,0,0
Indianapolis,13,5,3
Lafayette,6,2,2
Leavenworth,0,0,1
Linton,1,1,0
Plainfield2,3,0,1
Schererville,0,1,0
South Bend,4,1,0
Terre Haute,3,0,0
Universities and Colleges,0,1,1
Butler University,0,0,1
University of Indianapolis3,0,1,0
Metropolitan Counties,4,1,2
La Porte,1,0,0
Madison,1,0,0
Porter,0,1,0
St. Joseph,1,0,0
Vigo,1,0,2
State Police Agencies,0,0,1
State Police:,,,
Greene County,0,0,1
Total,,38,27
Cities,32,12,5
Atchison,1,0,0
Basehor,0,1,0
Bel Aire,0,1,0
Bonner Springs,1,0,0
Cherryvale,0,1,0
Clay Center,0,0,0
Coffeyville,0,1,0
Columbus,1,0,0
Concordia,1,0,1
Dodge City,2,0,0
El Dorado,1,0,0
Garden City,1,0,1
Gardner,1,0,0
Garnett,1,0,0
Goodland,0,1,0
Hays,1,0,0
Haysville,0,1,0
Hiawatha,1,1,0
Hillsboro,1,0,0
Hoisington,1,0,0
Hutchinson,2,0,0
Independence,0,0,1
Larned,1,0,0
Leavenworth,2,0,0
Leawood,0,0,0
Lindsborg,0,1,0
Maize,0,1,0
Paola,1,0,0
Salina,6,0,0
Shawnee,2,0,0
Tonganoxie,1,1,0
Topeka,1,0,0
Valley Center,0,1,0
Wichita,2,0,2
Winfield,0,1,0
Universities and Colleges,2,0,0
University of Kansas:,,,
Main Campus,1,0,0
Medical Center2,1,0,0
Metropolitan Counties,1,6,1
Doniphan,0,1,0
Jefferson,0,2,0
Johnson,1,0,0
Pottawatomie,0,1,0
Riley County Police Department,0,0,1
Sedgwick,0,2,0
Nonmetropolitan Counties,2,7,1
Barton,0,1,0
Edwards,0,1,0
Labette,0,3,0
McPherson,0,1,0
Nemaha,0,1,1
Saline,1,0,0
Thomas,1,0,0
State Police Agencies,1,1,0
Highway Patrol:,,,
Troop B,1,0,0
Troop C,0,1,0
Other Agencies,0,1,0
Kansas Department of Wildlife and Parks,0,1,0
Total,,114,12
Cities,78,7,10
Ashland,3,0,0
Audubon Park,1,0,0
Berea,2,0,0
Bowling Green,3,0,1
Campbellsville,2,0,0
Covington,8,0,0
Edgewood,1,0,0
Erlanger,1,0,0
Florence,2,0,0
Frankfort,3,0,0
Georgetown,3,0,0
Glasgow,1,0,0
Hodgenville,1,0,0
Hopkinsville,2,0,0
Jeffersontown,1,0,1
La Grange,1,0,0
Leitchfield,1,0,1
Lexington2,15,1,2
Louisville Metro,4,4,2
Mayfield,1,0,0
Maysville,2,0,0
Morehead,1,0,0
Newport,1,0,1
Nicholasville,1,0,0
Owensboro,5,0,0
Paducah,3,2,1
Radcliff,2,0,0
Richmond,1,0,0
Russell Springs,1,0,0
Shively,2,0,0
Simpsonville,0,0,1
Stanton,1,0,0
St. Matthews,0,0,0
Versailles,1,0,0
West Buechel,1,0,0
Winchester,0,0,0
Universities and Colleges,3,0,1
University of Kentucky,1,0,0
University of Louisville,1,0,1
Western Kentucky University,1,0,0
Metropolitan Counties,9,2,5
Boone2,4,1,3
Bourbon,0,0,1
Campbell County Police Department,1,0,0
Christian,1,0,0
Daviess,1,0,0
Grant,1,0,0
Hardin,1,0,0
Warren,0,1,1
Nonmetropolitan Counties,13,1,2
Boyle,2,0,0
Franklin,1,0,0
Fulton,0,0,1
Harrison,1,0,0
Hopkins,2,0,0
Knox2,1,1,0
Logan,0,0,1
Madison,1,0,0
Marshall,1,0,0
McCracken,2,0,0
Pulaski,1,0,0
Todd,1,0,0
State Police Agencies,6,2,1
State Police:,,,
Bowling Green,2,0,0
Elizabethtown2,2,2,0
Mayfield2,1,0,1
Richmond,1,0,0
Other Agencies,5,0,0
Fayette County Schools,1,0,0
Greater Hardin County Narcotics Task Force,1,0,0
Jefferson County School District,2,0,0
Metcalfe County Schools,1,0,0
Total,,9,8
Cities,3,3,4
Baton Rouge,0,0,1
New Orleans,2,0,3
Thibodaux,1,1,0
West Monroe,0,2,0
Metropolitan Counties,4,4,3
Ascension,0,1,0
Bossier,1,0,1
Calcasieu,2,2,2
Lafourche,0,1,0
St. James,1,0,0
Nonmetropolitan Counties,2,1,0
Evangeline,0,1,0
Madison,2,0,0
Total,,213,101
Cities,202,88,86
Acton,4,2,0
Amherst,0,0,0
Andover,0,2,0
Arlington2,3,3,2
Ashburnham,0,0,1
Attleboro,0,0,1
Barnstable2,3,3,0
Belmont,1,0,0
Boston2,113,26,47
Braintree,1,1,0
Brewster,0,0,1
Brockton,2,0,0
Brookline,4,2,0
Cambridge2,9,6,3
Chilmark,1,0,0
Concord,1,0,0
Danvers2,2,2,0
Dracut,1,0,0
Easthampton,0,0,1
Edgartown,1,0,0
Everett,1,0,0
Fall River,0,1,0
Framingham,0,1,0
Gloucester,1,0,0
Greenfield,1,1,1
Hamilton2,1,1,0
Haverhill2,4,2,1
Hingham,1,0,0
Hull2,1,1,0
Kingston,0,1,0
Leominster,1,0,0
Lynn,2,4,1
Malden,2,1,0
Manchester-by-the-Sea,0,3,0
Medford,1,3,0
Medway,0,1,0
Methuen,0,1,0
Milton,1,0,1
Montague,0,1,0
Natick,1,0,1
Needham,0,1,0
Newburyport,1,0,1
Newton2,2,1,2
North Andover,0,1,0
Northampton,1,0,2
Oak Bluffs,2,0,0
Pepperell,0,1,0
Pittsfield,0,0,1
Provincetown,4,0,1
Quincy,3,2,2
Randolph,1,0,0
Revere,1,0,0
Salem2,1,3,5
Sharon,0,1,0
Somerville,3,2,0
Spencer,1,1,0
Springfield2,7,0,1
Sturbridge,1,0,0
Sunderland2,1,1,0
Swampscott,1,1,1
Tewksbury,0,0,1
Tisbury,0,0,1
Waltham,2,0,0
Webster2,0,0,1
Wilbraham2,1,1,0
Winchester,1,0,2
Winthrop,0,1,0
Worcester,4,2,4
Universities and Colleges,10,13,5
Boston University,1,0,1
Fitchburg State University,0,0,1
Framingham State University,1,0,0
Harvard University,2,1,0
Massachusetts College of Liberal Arts,0,1,0
Massasoit Community College,0,1,0
Northeastern University,3,1,0
Salem State University,0,0,1
Smith College,0,1,0
"Tufts University, Medford",0,1,1
Westfield State University,1,0,0
Wheaton College,1,6,1
Worcester Polytechnic Institute2,1,1,0
Other Agencies,1,0,1
Massachusetts Bay Transportation Authority:,,,
Middlesex County,0,0,1
Norfolk County,1,0,0
Total,,7,4
Cities,1,0,1
Takoma Park,0,0,1
Westminster,1,0,0
Universities and Colleges,1,0,0
University of Maryland:,,,
Baltimore County,0,0,0
College Park,1,0,0
Metropolitan Counties,4,4,6
Carroll,1,0,0
Harford,1,0,0
Montgomery County Police Department,0,3,1
Prince George's County Police Department2,2,1,5
Other Agencies,1,0,0
Natural Resources Police,1,0,0
Total,,10,2
Cities,8,2,7
Augusta,0,1,1
Biddeford,0,0,1
Lewiston,2,0,0
Portland,4,0,1
Rockland,1,0,0
Saco,1,0,3
Sanford,0,0,1
South Portland,0,1,0
Nonmetropolitan Counties,1,0,0
Franklin,1,0,0
State Police Agencies,1,0,0
Maine State Police,1,0,0
Total,,313,51
Cities,208,33,35
Adrian,2,0,0
Albion,2,0,0
Allen Park,1,0,0
Almont,1,0,0
Ann Arbor,3,0,0
Auburn Hills,1,0,0
Baroda-Lake Township,0,1,0
Bay City,0,1,0
Benton Harbor,0,1,0
Benton Township,1,0,0
Berkley,1,0,0
Bloomfield Township,1,0,0
Bridgeport Township,1,0,0
Buchanan,0,0,0
Burton,5,0,0
Cadillac,3,0,0
Cambridge Township,1,0,0
Canton Township,4,1,0
Capac,1,0,1
Caro,1,0,0
Carrollton Township,0,0,1
Cassopolis,2,0,0
Clinton Township,1,1,0
Coloma Township,1,0,0
Crystal Falls,4,0,0
Dearborn,1,3,0
Dearborn Heights,2,1,0
Detroit,30,1,18
DeWitt Township,1,0,0
East Grand Rapids,2,0,0
East Lansing,0,2,0
Eastpointe,0,0,1
Ecorse,1,0,0
Escanaba,1,0,0
Farmington,0,2,0
Ferndale,1,0,1
Flint,2,0,0
Flushing,1,0,0
Fowlerville,0,0,0
Frankenmuth,2,0,0
Fraser,2,0,0
Fremont,1,0,0
Garden City,2,0,0
Genesee Township,1,0,0
Grand Blanc Township,1,0,0
Grand Haven,1,2,0
Grand Rapids,5,0,0
Grandville,3,0,0
Grosse Pointe Park,1,0,0
Grosse Pointe Woods,1,0,0
Hartford,1,0,0
Hazel Park,0,1,0
Highland Park,11,0,1
Holly,1,0,0
Huron Township,2,0,0
Imlay City,1,0,0
Inkster,1,0,0
Jackson,0,0,1
Jonesville,0,0,0
Kalamazoo,3,0,0
Lansing,4,0,1
Lincoln Park,1,0,0
Lincoln Township,0,1,0
Livonia,2,0,0
Lowell,1,0,0
Madison Heights,2,1,0
Manistee,0,1,0
Marquette,0,3,0
Melvindale,2,0,0
Menominee,1,0,0
Meridian Township,3,0,0
Metro Police Authority of Genesee County,1,0,0
Midland,2,0,0
Milford,1,0,1
Morenci,1,0,0
Mount Pleasant,1,0,1
Muskegon Heights,0,0,1
Muskegon Township,1,0,0
Newaygo,1,0,0
Northville Township,2,0,0
Norton Shores,1,0,0
Ontwa Township-Edwardsburg,1,0,0
Orion Township,1,0,0
Owosso,0,1,0
Pittsfield Township,1,1,0
Pontiac,1,0,0
Port Huron,1,0,0
Portage,1,0,0
Redford Township,1,0,0
Rochester,0,0,1
Romeo,1,0,0
Romulus,1,0,0
Roseville,2,0,1
Royal Oak,1,1,0
Saginaw Township,1,0,0
Saline,2,0,0
Shelby Township,1,0,0
South Haven,2,0,1
Southfield,2,1,1
Southgate,1,0,0
St. Johns,0,0,1
St. Joseph,0,0,1
Sterling Heights,2,0,0
Sylvan Lake,2,0,0
Taylor,1,1,0
Tecumseh,2,0,0
Thomas Township,1,0,0
Three Oaks,0,0,0
Tittabawassee Township,1,0,0
Traverse City,2,1,0
Troy,2,0,0
Utica,0,1,0
Van Buren Township,4,0,0
Warren,5,0,1
Waterford Township,3,1,0
West Bloomfield Township,5,2,0
White Lake Township,1,0,0
Wixom,1,0,0
Wyoming,7,0,0
Ypsilanti,2,0,0
Universities and Colleges,7,1,3
Eastern Michigan University,0,0,1
Oakland University,0,0,0
University of Michigan:,,,
Ann Arbor,6,1,1
Flint,0,0,1
Washtenaw Community College,1,0,0
Metropolitan Counties,30,5,2
Bay,1,0,0
Berrien,0,2,0
Calhoun,1,0,0
Eaton,3,0,0
Genesee,3,1,0
Ingham,1,0,0
Ionia,6,0,0
Jackson,0,0,1
Kalamazoo,4,0,0
Kent,1,0,0
Lapeer,1,0,0
Livingston,2,0,0
Ottawa,2,1,1
Saginaw,2,0,0
Washtenaw,3,1,0
Nonmetropolitan Counties,17,3,2
Alcona,1,0,0
Alpena,1,0,0
Baraga,0,1,0
Barry,1,0,1
Benzie,2,0,0
Hillsdale,1,0,0
Isabella,0,0,1
Leelanau,1,0,0
Luce,1,0,0
Mackinac,1,0,0
Mason,2,0,0
Oceana,0,1,0
Ontonagon,0,0,0
Van Buren,3,1,0
Wexford,3,0,0
State Police Agencies,50,9,2
State Police:,,,
Alger County,0,1,0
Allegan County,1,0,0
Alpena County,4,1,0
Calhoun County,1,0,0
Cass County,1,0,0
Chippewa County,1,0,0
Grand Traverse County,2,0,0
Gratiot County,1,0,0
Hillsdale County,2,0,0
Houghton County,4,2,0
Ingham County,2,1,0
Ionia County,1,0,0
Iosco County,0,1,0
Jackson County,1,1,0
Kalamazoo County,1,0,0
Kent County,0,1,0
Lapeer County,1,0,0
Livingston County,3,0,0
Mackinac County,1,0,0
Manistee County,1,0,0
Mecosta County,2,0,0
Montcalm County,2,0,0
Muskegon County,1,0,0
Oakland County,3,1,0
Oceana County,2,0,0
Ogemaw County,0,0,1
Ontonagon County,1,0,0
Sanilac County,1,0,0
St. Clair County,1,0,0
St. Joseph County,2,0,0
Washtenaw County,2,0,1
Wayne County,5,0,0
Other Agencies,1,0,0
"Huron-Clinton Metropolitan Authority, Stony Creek Metropark",1,0,0
Total,,59,20
Cities,52,17,16
Alexandria,0,1,0
Coon Rapids,0,0,1
Cottage Grove,1,0,0
East Grand Forks,0,0,1
Eden Prairie,2,0,0
Edina,0,1,0
Fairmont,1,0,0
Faribault,0,1,0
Fergus Falls,1,0,0
Hastings,1,0,0
Jordan,0,0,1
Mankato,9,1,3
Maple Grove,1,0,0
Maplewood,1,0,0
Minneapolis,17,5,6
Minnetonka,1,1,0
New Brighton,0,2,0
New Ulm,1,0,0
Plymouth,1,0,0
Red Wing,0,0,1
Rochester,3,1,0
Savage,1,0,0
St. Louis Park,2,3,0
St. Paul,8,1,2
Wabasha,1,0,0
Waseca,0,0,1
Universities and Colleges,0,2,0
"University of Minnesota, Twin Cities",0,2,0
Metropolitan Counties,4,0,1
Blue Earth,1,0,0
Carver,2,0,0
Olmsted,0,0,1
Ramsey,1,0,0
Nonmetropolitan Counties,2,1,0
Hubbard,1,0,0
Kandiyohi,1,0,0
Lac qui Parle,0,1,0
Other Agencies,1,0,0
"Capitol Security, St. Paul",1,0,0
Total,,52,13
Cities,43,9,10
Belton,1,0,2
Blue Springs,0,1,1
Boonville,1,0,0
Cape Girardeau,0,0,1
Carthage,0,1,0
Fulton,1,0,0
Gladstone,3,0,0
Grain Valley,2,0,0
Independence,3,0,0
Jefferson City,2,0,0
Kansas City,25,6,2
Lawson,0,0,1
Lee's Summit,1,0,0
Springfield,0,0,1
St. Louis,1,1,2
St. Peters,2,0,0
Sunset Hills,1,0,0
Universities and Colleges,2,1,1
Missouri University of Science and Technology,0,0,1
Missouri Western State University,0,1,0
"University of Missouri, Columbia",2,0,0
Metropolitan Counties,3,3,4
Greene,1,0,0
Howard,0,0,1
St. Charles County Police Department,2,3,1
St. Louis County Police Department,0,0,2
Nonmetropolitan Counties,3,0,1
Camden,1,0,1
Henry,1,0,0
Johnson,1,0,0
State Police Agencies,1,0,0
Missouri State Highway Patrol,1,0,0
Total,,6,1
Cities,2,1,1
Byram,0,0,0
Hernando,0,1,0
Kosciusko,2,0,0
Ridgeland,0,0,1
Nonmetropolitan Counties,4,0,0
George,4,0,0
Total,,16,9
Cities,9,4,2
Billings,2,1,1
Bozeman,1,0,0
Great Falls,2,1,0
Helena,1,1,0
Kalispell,0,1,0
Livingston,1,0,0
Missoula,1,0,0
Polson,0,0,1
Whitefish,1,0,0
Universities and Colleges,1,1,0
Montana State University,1,1,0
Metropolitan Counties,2,1,0
Cascade,1,1,0
Missoula,1,0,0
Nonmetropolitan Counties,4,3,0
Big Horn,3,0,0
Flathead,0,1,0
Liberty,0,1,0
Ravalli,1,1,0
Total,,132,42
Cities,84,31,22
Aberdeen,0,1,0
Apex,1,0,0
Asheville,3,3,1
Beaufort,3,0,0
Biltmore Forest,0,1,0
Burlington,0,0,1
Canton,1,0,0
Cary,1,0,0
Chapel Hill,1,0,1
Charlotte-Mecklenburg,10,7,1
Clayton,2,0,0
Cleveland,0,1,0
Dallas,1,0,0
Dunn,0,1,0
Durham,3,0,0
Elon,1,2,0
Fayetteville,8,1,2
Greensboro,8,1,0
Greenville,3,0,2
Hickory,1,0,2
High Point,2,0,0
Hope Mills,1,0,0
Jacksonville,2,0,0
Kernersville,0,0,1
Knightdale,1,0,0
Leland,4,0,0
Lenoir,1,0,0
Marion,1,0,0
